InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
20001,T0001,NVIDIA Shield TV Pro,4,2025-09-26,980.88,1024,Argentina
20002,T0002,Canon EOS R6 Mark II,3,2025-02-09,1512.08,1097,Argentina
20003,T0003,Bose QuietComfort 45,2,2025-08-23,652.89,1034,México
20004,T0004,Kindle Paperwhite 2023,1,2025-02-13,1060.17,1089,Colombia
20005,T0005,Samsung Galaxy Watch 6,1,2025-06-20,699.49,1073,México
20006,T0006,Razer Huntsman V2 Teclado,2,2025-06-30,1956.91,1056,Guatemala
20007,T0007,Bose QuietComfort 45,5,2025-06-22,266.16,1088,Argentina
20008,T0008,iPhone 14 Pro Max 128GB,1,2025-07-11,1547.07,1100,Perú
20009,T0009,Canon EOS R6 Mark II,5,2025-01-17,811.94,1055,Chile
20010,T0010,GoPro Hero 12 Black,1,2025-07-25,1192.15,1027,Honduras
20011,T0011,ASUS ROG Strix RTX 4080 GPU,2,2025-06-16,848.37,1032,Chile
20012,T0012,iPhone 14 Pro Max 128GB,3,2025-09-11,1032.81,1012,Argentina
20013,T0013,Dell XPS 15 Laptop,1,2025-05-24,1278.58,1052,Colombia
20014,T0014,Samsung Galaxy Watch 6,2,2025-03-22,958.95,1047,Colombia
20015,T0015,Apple Watch Series 9,1,2025-03-29,838.24,1056,Perú
20016,T0016,Logitech MX Master 3S Mouse,1,2025-07-14,2392.71,1100,El Salvador
20017,T0017,Canon EOS R6 Mark II,2,2025-03-20,1261.44,1034,México
20018,T0018,Logitech MX Master 3S Mouse,5,2025-04-04,1118.54,1084,Honduras
20019,T0019,Samsung Galaxy S23 Ultra,5,2025-06-07,1226.88,1006,El Salvador
20020,T0020,Canon EOS R6 Mark II,1,2025-02-20,2393.35,1069,México
20021,T0021,Canon EOS R6 Mark II,4,2025-08-16,403.16,1060,El Salvador
20022,T0022,Sony WH-1000XM5 Audífonos,4,2025-08-04,1259.94,1057,México
20023,T0023,MacBook Air M2 13”,2,2025-05-20,533.32,1071,Guatemala
20024,T0024,Bose QuietComfort 45,5,2025-09-10,2300.28,1085,Honduras
20025,T0025,Samsung Galaxy S23 Ultra,1,2025-05-16,813.0,1008,Colombia
20026,T0026,MacBook Air M2 13”,2,2025-05-17,556.49,1049,México
20027,T0027,iPad Pro 12.9”,3,2025-05-28,1109.13,1041,Honduras
20028,T0028,Logitech MX Master 3S Mouse,1,2025-08-01,217.47,1061,México
20029,T0029,Razer Huntsman V2 Teclado,1,2025-01-30,1589.0,1088,Colombia
20030,T0030,Apple Watch Series 9,2,2025-08-23,911.13,1020,Perú
